ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1986/87             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,157.3,6.0,0.0
1986/87             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,83.3,3.0,0.0
1986/87             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,200.0,12.0,0.1
1986/87             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,392.0,250.5,0.6
1986/87             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,86.8,2.0,0.0
1986/87             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,27.8,2.0,0.1
1986/87             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,324.0,212.1,0.7
1987/88             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,68.6,6.4,0.1
1987/88             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,327.0,91.5,0.3
1987/88             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,456.0,39.6,0.1
1987/88             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,63.1,39.8,0.6
1987/88             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,17.0,1.4,0.1
1987/88             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,169.0,39.6,0.2
1987/88             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,52.7,27.1,0.5
1987/88             ,UNICA          ,MT,ALGODAO EM PLUMA                        ,4586,30.0,13.7,0.5
1987/88             ,UNICA          ,PA,ALGODAO EM PLUMA                        ,4586,11.0,2.0,0.2
1987/88             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,105.0,7.8,0.1
1987/88             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,83.5,5.4,0.1
1987/88             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,204.0,10.3,0.0
1987/88             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,450.8,315.0,0.7
1987/88             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,158.0,9.8,0.1
1987/88             ,UNICA          ,RO,ALGODAO EM PLUMA                        ,4586,3.2,1.6,0.5
1987/88             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,24.2,2.7,0.1
1987/88             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,353.0,249.9,0.7
1988/89             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,46.0,3.7,0.1
1988/89             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,267.0,48.5,0.2
